,Unnamed: 0,REFCODE,Formula,SymMol,Cryst_spgr,Spgr_N,C_x,C_y,C_z,Mol_R,Mol_V,Cell_a,CCDC_ID
545,75,FEMYAY,C39 H63 Mo1 N4 Si1,3,P 21 3,198,0.569732,0.930268,1.06973,6.35847,1076.8,16.5578,255687
546,76,FUYBOQ,C18 H42 N6 Ni1,3,P 21 3,198,0.377663,0.377663,0.377663,6.40917,1102.76,13.829,287013
547,77,FEMYAY,C1 F3 O3 S1,3 m,P 21 3,198,0.921441,0.578559,1.42144,1.88429,28.0231,16.5578,255687
548,78,FORKON,C39 H60 N12 O1 Zn4,3,P 21 3,198,0.768499,0.231501,0.731501,6.31571,1055.22,16.5114,276074
549,79,GANLIR,C30 F3 H42 N6 Si3 Ti1,3,P 21 3,198,0.812996,0.312996,0.187004,6.13976,969.46,15.08,293180
550,80,GECDIB,C15 Co1 H36 N6,3,P 21 3,198,0.226258,0.226258,0.226258,4.51458,385.415,12.871,297970
551,81,GENWAZ,C30 Co1 H33 N7 O6,3,P 21 3,198,0.561058,0.438942,-0.0610579,6.44479,1121.25,15.4332,302134
552,82,GENWAZ,Cl4 Co1,-4 3 m,P 21 3,198,0.607507,0.892493,0.107507,2.28924,50.2513,15.4332,302134
553,83,FURWIY,C4 H12 N1,-4 3 m,P 21 3,198,0.207147,0.207147,0.207147,2.00577,33.8002,13.801,284884
554,84,GEWNAX,C6 Co1 H18 N6 S3,3,P 21 3,198,0.0491626,0.0491626,0.0491626,5.05527,541.14,12.003,304938
555,85,FURWIY,C4 H12 N1,2 3,P 21 3,198,0.473076,0.473076,0.473076,2.04423,35.7822,13.801,284884
556,86,GIHWOK,C18 Cl1 Cu1 H18 N4,3,P 21 3,198,0.862621,0.362621,0.137379,5.59338,732.991,12.4157,308632
557,87,GINJEU,C6 H24 N6 Ni1,3,P 21 3,198,0.758348,0.241652,0.741652,3.85111,239.239,21.4954,310598
558,88,GINJEU,C6 H24 N6 Ni1,3,P 21 3,198,0.86512,0.36512,1.13488,3.79121,228.25,21.4954,310598
559,89,GAXSUT,C12 Cu1 H36 P4,3,P 21 3,198,0.0406928,0.0406928,0.0406928,4.29773,332.502,13.666,296832
560,90,GAXSUT,C2 Cu1,6/m,P 21 3,198,0.362633,0.362633,0.362633,1.94964,31.0411,13.666,296832
561,91,GOQXES,C21 F3 H12 Np1 O8,3,P 21 3,198,0.424502,0.575498,1.0755,8.05736,2191.06,13.0933,320737
562,92,GOQXES,H4 N1,-4 3 m,P 21 3,198,1.17066,0.67066,0.82934,0.872206,2.77928,13.0933,320737
563,93,GINJEU,C12 H48 N12 Ni3 O7 W1,3,P 21 3,198,0.981022,0.0189781,0.518978,7.12403,1514.44,21.4954,310598
564,94,GOQXIW,C21 F3 H12 O8 Pu1,3,P 21 3,198,0.575274,0.424726,-0.075274,8.05707,2190.82,13.0817,320740
565,95,GOQXIW,H4 N1,-4 3 m,P 21 3,198,-0.17074,0.32926,0.17074,0.846056,2.53672,13.0817,320740
566,96,GOQXOC,C21 F3 H12 O8 U1,3,P 21 3,198,0.67407,0.32593,0.82593,8.05561,2189.63,13.105,320741
567,97,GOQXOC,H4 N1,-4 3 m,P 21 3,198,0.92048,0.42048,1.07952,0.893093,2.98377,13.105,320741
568,98,HAJKUZ,C27 H45 N7 Ni1,3,P 21 3,198,0.310677,0.189323,0.810677,5.58145,728.309,14.0195,335507
569,99,GESHOB,Bi1 C36 H81 O9 S3 Si3,3,P 21 3,198,0.768101,0.768101,0.768101,7.57741,1822.38,17.793,303650
570,100,HIWQEJ,C1 H3 O3,3,P 21 3,198,1.11164,0.888357,1.38836,1.4244,12.1053,8.6,357525
571,101,HIWQEJ,As1 F6,m -3 m,P 21 3,198,0.885571,0.885571,0.885571,1.70336,20.701,8.6,357525
572,102,GEYPAB,C32 Co8 O44 Si8,3,P 21 3,198,1.24651,0.253489,0.746511,7.98683,2134.02,18.321,305597
573,103,HUKTUC,B1 C12 H9 O3,3,P 21 3,198,0.530958,0.530958,0.530958,4.67491,427.954,10.2961,371915
574,104,IBIXIA,C19 H18 P1,3,P 21 3,198,-0.313676,-0.686324,-0.186324,5.26202,610.287,15.4804,379219
575,105,IBIXIA,C19 H18 P1,3,P 21 3,198,-0.0220292,-0.522029,0.0220292,5.25933,609.352,15.4804,379219
576,106,IBIXIA,Cl4 Mn1,-4 3 m,P 21 3,198,-0.058728,-0.058728,-0.058728,2.38137,56.5663,15.4804,379219
577,107,IBIXIA01,C19 H18 P1,3,P 21 3,198,0.813057,0.813057,0.813057,5.25956,609.429,15.5417,379220
578,108,IBIXIA01,C19 H18 P1,3,P 21 3,198,1.02017,0.520167,-0.0201668,5.26531,611.43,15.5417,379220
579,109,IBIXIA01,Cl4 Mn1,-4 3 m,P 21 3,198,0.942605,0.557395,0.442605,2.38339,56.7102,15.5417,379220
580,110,IMETNI01,C12 H30 I1 N4 Ni1,3,P 21 3,198,0.237948,0.737948,0.762052,4.08732,286.016,12.383,398744
581,111,ITAWAC,Br3 C36 H27 Ir1 N3,3,P 21 3,198,0.514775,0.485225,-0.0147754,6.56796,1186.77,22.5283,411349
582,112,IBIQEQ,C18 Cl4 Co1 H48 Mo3 P6 S4,3,P 21 3,198,0.44606,0.55394,0.0539402,6.01661,912.289,16.5291,379046
583,113,ITAWAC,Br3 C36 H27 Ir1 N3,3,P 21 3,198,0.93275,0.43275,0.0672505,6.40913,1102.74,22.5283,411349
584,114,ITESEG,B1 C24 Cu3 H51 N3 O16,3,P 21 3,198,0.94825,0.55175,0.44825,7.51106,1774.92,14.927,411694
585,115,ITESEG,B1 F4,-4 3 m,P 21 3,198,0.43242,0.43242,0.43242,1.34022,10.0833,14.927,411694
586,116,IWABOA,C14 H26 I1 N2,3,P 21 3,198,0.746822,0.246822,0.253178,5.83731,833.13,11.9987,414952
587,117,IWABOA,Cl1 O4,-4 3 m,P 21 3,198,0.735804,0.764196,0.235804,1.44455,12.6262,11.9987,414952
588,118,IYEMAB,C14 Fe4 H3 O12,3,P 21 3,198,0.473187,1.02681,0.973187,4.21573,313.83,12.4712,419591
589,119,ITAWAC,Br3 C36 H27 Ir1 N3,3,P 21 3,198,0.702614,0.797386,0.202614,6.4826,1141.1,22.5283,411349
590,120,ITAWAC,C1 Cl3 H1,3 m,P 21 3,198,0.54716,-0.04716,0.04716,1.70414,20.7296,22.5283,411349
591,121,ITAWAC,C1 Cl3 H1,3 m,P 21 3,198,0.129354,0.129354,0.129354,1.72553,21.5202,22.5283,411349
592,122,ITAWAC,C1 Cl3 H1,3 m,P 21 3,198,0.739884,0.096436,0.13258,1.74537,22.2711,22.5283,411349
593,123,HAVTAC,C54 Fe1 H66 N7 O1,3,P 21 3,198,0.246529,0.246529,0.246529,6.70583,1263.09,17.0345,339769
594,124,JIGMUH,C12 Cl10 O3 Ta3,3,P 21 3,198,0.608943,0.608939,0.608939,5.22525,597.582,15.28,437781
595,125,JIHDUZ,C6 H16 N4 P1,3,P 21 3,198,0.603448,0.603448,0.603448,3.1221,127.473,9.9443,437916
596,126,JENWOR,Au1 C15 Cl1 H39 N4 P1 Si3 W1,3,P 21 3,198,0.414931,0.414931,0.414931,6.44078,1119.15,13.7582,433940
597,127,IYUTON,C15 H36 N6 Ni1,3,P 21 3,198,0.875875,1.12412,0.624125,5.81002,821.502,13.3212,420931
598,128,JOFFAL,C18 Cl3 Ru2,3 2,P 21 3,198,0.240042,0.240042,0.240042,4.34274,343.058,13.281,444221
599,129,JOFFAL,B1 F4,-4 3 m,P 21 3,198,0.75532,0.75532,0.75532,1.38066,11.024,13.281,444221
600,130,JURGIO,C30 H36 N3,3,P 21 3,198,0.179733,-0.820267,0.179733,8.38689,2471.04,14.759,454690
601,131,JURGIO,Cd1 Cl4,-4 3 m,P 21 3,198,0.0483136,-0.951686,0.0483136,2.45622,62.0692,14.759,454690
602,132,JURGOU,C30 H36 N3,3,P 21 3,198,-0.178474,-1.17847,-0.178474,8.35422,2442.27,14.6693,454692
603,133,JURGOU,Cl4 Zn1,-4 3 m,P 21 3,198,-0.0484168,-1.04842,-0.0484168,2.2752,49.3328,14.6693,454692
604,134,GINJEU,O62 P2 W18,-6 m 2,P 21 3,198,0.484632,0.515368,1.01537,6.90708,1380.25,21.4954,310598
605,135,GINJEU,C1 O3,3 m,P 21 3,198,1.25175,0.24825,0.75175,1.54867,15.5579,21.4954,310598
606,136,JURGUA,C30 H36 N3,3,P 21 3,198,-0.321114,-0.321114,-0.321114,8.37466,2460.24,14.7135,454693
607,137,JURGUA,Cl4 Mn1,-4 3 m,P 21 3,198,-0.0483246,-0.548325,0.0483246,2.36202,55.1986,14.7135,454693
608,138,JURHEL,C30 H36 N3,3,P 21 3,198,0.070142,-0.429858,-0.070142,8.39767,2480.57,14.9853,454698
609,139,JURHEL,Br4 Zn1,3 m,P 21 3,198,-0.203438,-0.796562,-0.296562,2.43388,60.3912,14.9853,454698
610,140,JURHAH,C30 H36 N3,3,P 21 3,198,-0.678823,-1.17882,-0.321177,8.35444,2442.46,14.654,454696
611,141,JURHAH,Cl4 Co1,-4 3 m,P 21 3,198,-0.0486338,-0.451366,-0.548634,2.27605,49.3882,14.654,454696
612,142,JURHIP,C33 H42 N3,3,P 21 3,198,-0.582401,-0.917599,-0.0824005,9.43236,3515.09,15.1987,454700
613,143,JURHIP,Cd1 Cl4,-4 3 m,P 21 3,198,-0.287441,-1.28744,-0.287441,2.47298,63.3486,15.1987,454700
614,144,KIZKEJ,C18 Cl3 P2 Si6 Ti1,3,P 21 3,198,0.499129,0.500871,0.000871,5.77379,806.23,15.53,484865
615,145,KOFFAM01,C18 H21 N4,3,P 21 3,198,0.631525,0.631525,0.631525,5.603,736.782,13.2347,486604
616,146,KOFFAM01,Cl1 O4,-4 3 m,P 21 3,198,0.784398,0.784398,0.784398,1.44976,12.7635,13.2347,486604
617,147,JURJAJ,C33 H42 N3,3,P 21 3,198,0.168188,-0.831812,0.168188,9.40092,3480.07,15.155,454706
618,148,KOFFAM01,Cl1 O4,-4 3 m,P 21 3,198,0.409622,0.409622,0.409622,1.44505,12.6394,13.2347,486604
619,149,JURJAJ,Cl4 Zn1,-4 3 m,P 21 3,198,0.0416822,-0.958318,0.0416822,2.27057,49.0319,15.155,454706
620,150,KOFFAM01,Cl1 O4,-4 3 m,P 21 3,198,0.094594,0.094594,0.094594,1.4509,12.7935,13.2347,486604
621,151,JURHOV,C33 H36 N3,3,P 21 3,198,0.171058,-0.671058,-0.328942,9.39899,3477.92,15.1477,454702
622,152,JURHUB,C33 H39 N3,3,P 21 3,198,-0.419276,-0.419276,-0.419276,9.47399,3561.84,15.208,454703
623,153,JURHUB,Cl4 Hg1,3 m,P 21 3,198,-0.213418,-0.713418,-0.786582,2.523,67.2711,15.208,454703
624,154,JURHOV,Cl4 Co1,-4 3 m,P 21 3,198,-0.0416714,-1.04167,-0.0416714,2.27422,49.2692,15.1477,454702
625,155,LAVROP01,C21 H45 N3 Ni1 O3,3,P 21 3,198,0.685516,0.685516,0.685516,6.16708,982.458,14.008,509539
626,156,LAVROP02,C21 H45 N3 Ni1 O3,3,P 21 3,198,0.685711,0.685711,0.685711,6.30327,1048.99,14.008,509540
627,157,LAVROP01,F6 P1,m -3 m,P 21 3,198,0.478796,0.478796,0.478796,1.61264,17.5666,14.008,509539
628,158,LAVROP01,N1 O3,-6 m 2,P 21 3,198,0.111625,0.111625,0.111625,1.25503,8.28023,14.008,509539
629,159,LAVROP02,F6 P1,m -3 m,P 21 3,198,0.478791,0.478791,0.478791,1.61319,17.5847,14.008,509540
630,160,LAVROP02,N1 O3,-6 m 2,P 21 3,198,0.111643,0.111643,0.111643,1.25494,8.27831,14.008,509540
631,161,LIZKIO,C9 Cl1 Cu1 H27 N1 Sn3,3,P 21 3,198,0.355977,0.144023,0.855977,4.53149,389.763,15.504,529588
632,162,LIZKIO,C9 Cl1 Cu1 H27 N1 Sn3,3,P 21 3,198,0.354079,0.354079,1.35408,4.51623,385.838,15.504,529588
633,163,KURTIA01,C12 Cu1 H36 P4,3,P 21 3,198,0.543779,0.543779,0.543779,4.3248,338.825,13.4832,498366
634,164,KURTIA01,Cl2 Cu1,6/m,P 21 3,198,0.86648,0.86648,0.86648,2.08734,38.0941,13.4832,498366
635,165,KURTIA,C12 Cu1 H36 P4,3,P 21 3,198,0.0440566,0.0440566,0.0440566,4.29865,332.715,13.584,498365
636,166,KURTIA,Cl2 Cu1,6/m,P 21 3,198,0.366933,0.366933,0.366933,2.07205,37.2628,13.584,498365
637,167,LAVROP03,C21 H45 N3 Ni1 O3,3,P 21 3,198,0.686167,0.686167,0.686167,6.32307,1058.91,14.008,509541
638,168,LAVROP03,N1 O3,-6 m 2,P 21 3,198,0.111693,0.111693,0.111693,1.25567,8.2929,14.008,509541
639,169,NAMXOP,C6 N2,-6 m 2,P 21 3,198,0.340238,0.159763,0.840237,1.61042,17.4942,10.9842,599566
640,170,NAMXOP,Mo1 S4,-4 3 m,P 21 3,198,0.5793,0.0793,0.4207,2.19551,44.3282,10.9842,599566
641,171,LAVROP03,F6 P1,m -3 m,P 21 3,198,0.478725,0.478725,0.478725,1.61192,17.543,14.008,509541
642,172,NAUACE03,C6 H9 O8 U1,3,P 21 3,198,0.31372,0.81372,0.68628,4.77641,456.436,10.721,602491
643,173,NOPTUJ,C9 H9 O8 U1,3,P 21 3,198,-1.20329,0.203294,-0.296706,6.0609,932.582,11.5509,628968
644,174,NOPTUJ,H4 N1,3 m,P 21 3,198,-1.09382,-0.09382,-0.09382,0.909709,3.15343,11.5509,628968
645,175,OBENIT,C9 H12 O9 Ti1,3,P 21 3,198,-0.111592,-0.111592,-0.111592,4.37957,351.861,11.649,641802
646,176,NAUACE01,C6 H9 O8 U1,3,P 21 3,198,0.435115,0.435115,0.435115,4.85683,479.882,10.689,602489
647,177,OBENIT,H4 N1,3 m,P 21 3,198,-0.3787,0.3787,-0.1213,1.24692,8.12062,11.649,641802
648,178,OBENIT,H4 N1,3 m,P 21 3,198,-0.273,-0.273,-0.273,1.03132,4.5947,11.649,641802
649,179,NEZNUC,C6 Eu1 F18 H6 N3 O15 S6,3,P 21 3,198,0.447722,0.447722,0.447722,5.91453,866.638,18.4702,613770
650,180,NEZNUC,C6 Eu1 F18 H6 N3 O15 S6,3,P 21 3,198,0.200971,0.200971,0.200971,6.08652,944.457,18.4702,613770
651,181,OCEGUA,C19 H36 N3,3,P 21 3,198,0.805402,0.194598,0.694598,6.11053,955.681,12.893,644256
652,182,NOWSUP,C18 Cu1 H42 N6,3,P 21 3,198,0.38142,0.88142,0.61858,6.30203,1048.37,14.1727,631096
653,183,NOWSUP,H2 O1,m m 2,P 21 3,198,0.461933,1.14371,0.420167,0.704037,1.46171,14.1727,631096
654,184,OLIKEB,C27 H18 N3 O4 P1,3,P 21 3,198,0.0192951,0.519295,0.980705,7.02092,1449.63,13.3936,660182
655,185,OJUGIL,C30 H36 N18 Ru1,3,P 21 3,198,0.627959,0.127959,0.372041,6.64636,1229.78,16.5615,656838
656,186,OJUGIL,F6 P1,-3 m,P 21 3,198,0.0954086,0.0954086,0.0954086,1.58856,16.7914,16.5615,656838
657,187,OJUGIL,F6 P1,-3 m,P 21 3,198,0.881479,0.118521,0.618521,1.59097,16.8679,16.5615,656838
658,188,PAJTAY,Br1 C18 Co1 H18 N4,3,P 21 3,198,0.362747,0.362747,0.362747,5.59469,733.505,12.626,684056
659,189,OYEBOK,C36 Cd3 Cu1 H30 I3 S6,3,P 21 3,198,-0.0595822,0.940418,0.940418,7.83118,2011.68,25.6177,677989
660,190,PEMMEB,C39 H45 Mn1 N8,3,P 21 3,198,0.271774,0.728226,0.228226,5.98803,899.35,17.9947,695295
661,191,OKIPOP,C51 Cl3 H60 Mo3 N3 P3 S4,3,P 21 3,198,0.422584,0.077416,-0.077416,8.40367,2485.9,19.0728,658219
662,192,OKIPOP,B1 F4,3 m,P 21 3,198,0.1638,0.1638,0.1638,1.4173,11.9251,19.0728,658219
663,193,PEMMEB,C6 H6,6/m m m,P 21 3,198,0.269033,0.0752692,0.367461,2.32583,52.7001,17.9947,695295
664,194,POHCOE,C6 H18 O1 Sb3,3,P 21 3,198,0.435332,0.435332,0.435332,3.98743,265.555,11.165,712510
665,195,PULTOH,C6 F18 H6 N3 Nd1 O15 S6,3,P 21 3,198,0.201496,0.701496,0.798504,6.10378,952.518,18.4695,723678
666,196,PEMMEB,F6 P1,m -3 m,P 21 3,198,0.0128543,0.987146,0.487146,1.59872,17.1156,17.9947,695295
667,197,PEMMEB,F6 P1,m -3 m,P 21 3,198,0.0913786,0.0913786,0.0913786,1.60039,17.1695,17.9947,695295
668,198,PULTOH,C6 F18 H6 N3 Nd1 O15 S6,3,P 21 3,198,0.447517,0.947517,0.552483,5.90742,863.515,18.4695,723678
669,199,OKIPUV,C51 Cl3 H60 Mo3 N3 P3 S4,3,P 21 3,198,-0.93651,-0.93651,0.0634905,8.39273,2476.2,19.5506,658223
670,200,OKIPUV,C7 H8,1,P 21 3,198,-1.03749,-0.730733,-0.28402,2.90097,102.26,19.5506,658223
671,201,PULVEZ,C6 F18 Gd1 H6 N3 O15 S6,3,P 21 3,198,0.451076,0.548924,0.0489239,6.07265,938.019,18.3973,723691
672,202,PULVOJ,C6 Ce1 F18 H6 N3 O15 S6,3,P 21 3,198,0.202354,0.702354,0.797646,6.13004,964.863,18.5172,723697
673,203,OKIPUV,B1 F4,-4 3 m,P 21 3,198,-0.77036,-0.72964,-0.27036,1.37821,10.9652,19.5506,658223
674,204,PULVEZ,C6 F18 Gd1 H6 N3 O15 S6,3,P 21 3,198,0.801857,0.698143,0.301857,5.90968,864.505,18.3973,723691
675,205,PULVOJ,C6 Ce1 F18 H6 N3 O15 S6,3,P 21 3,198,0.447095,0.947095,0.552905,5.90962,864.48,18.5172,723697
676,206,PUZQOQ,C9 Cl3 H27 In1 N1 Sn3,3,P 21 3,198,1.0264,0.026398,0.026398,4.21051,312.666,12.9021,728595
677,207,QAMBAI,C18 Cl1 Co1 H18 N4,3,P 21 3,198,0.137476,0.137476,0.137476,5.58605,730.114,12.3978,734293
678,208,PUZQUW,Br3 C9 H27 In1 N1 Sn3,3,P 21 3,198,0.222073,0.277927,0.722073,4.29257,331.304,12.989,728599
679,209,QAMBAI01,C18 Cl1 Co1 H18 N4,3,P 21 3,198,0.362525,0.362525,0.362525,5.58618,730.163,12.394,734294
680,210,QIRWIZ,C12 Cl1 Cr1 H30 N4,3,P 21 3,198,0.26633,0.73367,0.23367,4.14017,297.255,11.9655,751896
681,211,QOSVEZ,C9 H27 N4,3,P 21 3,198,0.70835,0.70835,0.70835,4.52235,387.409,11.4807,761143
682,212,QAZLUA,C30 Co1 H24 N6,3,P 21 3,198,0.54005,0.95995,0.0400505,5.61889,743.068,15.7518,739268
683,213,QOZGUJ,C12 H24 O38 Th6,3,P 21 3,198,-0.568023,-0.931977,-0.0680233,5.91625,867.391,18.457,763452
684,214,QOZKOI,H4 N1,3 m,P 21 3,198,0.10382,0.60382,0.89618,1.01409,4.36828,7.586,763516
685,215,QOZKOI,O4 P1,3 m,P 21 3,198,0.358878,0.141122,0.858878,1.57643,16.4097,7.586,763516
686,216,QUZKAA,Br1 C21 H36 Mg1 N6,3,P 21 3,198,0.600967,0.600967,0.600967,6.28789,1041.34,17.1849,773900
687,217,QUZKAA,Br2 C21 H36 Mg1 N6,3,P 21 3,198,0.166299,0.333701,0.666299,6.47022,1134.58,17.1849,773900
688,218,PUWPIJ,C69 Ce1 H69 N6,3,P 21 3,198,0.766115,0.766115,0.766115,8.16588,2280.79,18.5568,727349
689,219,RANJIA,C24 Cl1 Fe1 H54 N1 P3,3,P 21 3,198,1.00848,0.00847655,0.00847655,5.78473,810.822,14.8923,778944
690,220,QAZLUA,Mo6 O19,m -3 m,P 21 3,198,0.536375,0.463625,-0.0363752,4.00412,268.905,15.7518,739268
691,221,RETNIN,C3 H9 Li1 N1,3,P 21 3,198,0.11115,0.11115,0.11115,2.66065,78.8934,11.476,790470
692,222,RARCAP,C6 F18 H6 La1 N3 O15 S6,3,P 21 3,198,0.303641,0.696359,0.196359,5.91309,866.003,18.5702,780164
693,223,RETNIN,C7 H21 W1,3,P 21 3,198,0.367624,0.367624,0.367624,3.2908,149.273,11.476,790470
694,224,RANJIA,F6 P1,m -3 m,P 21 3,198,0.898751,0.398751,0.101249,1.60215,17.2261,14.8923,778944
695,225,RARCAP,C6 F18 H6 La1 N3 O15 S6,3,P 21 3,198,0.0471853,0.0471853,0.0471853,6.15558,976.973,18.5702,780164
696,226,RUTREF,C15 H12 N3 O3 S3 Si1,3,P 21 3,198,0.472717,0.472717,0.472717,6.15154,975.049,13.9483,814977
697,227,RUTREF,C1 Cl3 D1,3 m,P 21 3,198,0.133904,0.366096,0.633904,1.71352,21.0738,13.9483,814977
698,228,RUTREF,C1 Cl3 D1,3 m,P 21 3,198,0.303998,0.303998,0.303998,1.72065,21.3378,13.9483,814977
699,229,ROGMAE01,C9 H9 O8 U1,3,P 21 3,198,0.202715,-0.702715,-0.297285,6.07377,938.536,11.5861,803263
700,230,SAFCOV,C12 H30 I1 N4 Zn1,3,P 21 3,198,0.263257,0.263257,0.263257,4.09694,288.041,12.567,818711
701,231,RONDAZ,C9 H28 N1 Sn3,3,P 21 3,198,0.359295,0.640715,0.140715,4.22313,315.485,15.587,805797
702,232,SIFXIQ,Br1 C12 H30 Mg1 N4,3,P 21 3,198,0.48557,0.48557,0.48557,4.11939,292.802,12.193,837966
703,233,RONDAZ,C9 H28 N1 Sn3,3,P 21 3,198,0.637328,0.362672,-0.137328,4.21026,312.609,15.587,805797
704,234,TANYEM,C3 Fe1 N1 O4,3 m,P 21 3,198,0.543829,0.543829,0.543829,3.08473,122.949,8.853,868929
705,235,SEWBUS,C23 H30 N6 Zn1,3,P 21 3,198,0.682857,0.317143,0.817143,5.87915,851.174,13.9397,834944
706,236,SEWBUS,Cl1 O4,3 m,P 21 3,198,0.919412,0.919412,0.919412,1.37497,10.8882,13.9397,834944
707,237,SEWBUS,Cl1 O4,-4 3 m,P 21 3,198,0.413638,0.086362,0.913638,1.43808,12.4574,13.9397,834944
708,238,TAVVOE,C19 Co1 H39 N2 S4,3,P 21 3,198,0.692617,0.192617,0.307383,5.59636,734.164,14.1508,871545
709,239,TAVVOE,Cl1 O4,-4 3 m,P 21 3,198,0.842034,0.657966,0.342034,1.44164,12.55,14.1508,871545
710,240,TIXGOY,C18 H38 N2 O6,3,P 21 3,198,0.250591,0.249409,0.750591,4.74473,447.414,16.3228,891357
711,241,TIXGOY,C6 H18 I4 O6 Zn4,3,P 21 3,198,0.180608,0.180608,0.180608,4.8825,487.532,16.3228,891357
